Gene,N61311_Dex,N052611_Dex,N080611_Dex,N061011_Dex,N61311_untreated,N052611_untreated,N080611_untreated,N061011_untreated
SRL,2,3,4,3,3,11,4,11
LINC01569,7,21,20,23,17,31,24,47
LOC105371063,0,0,0,0,0,0,0,0
TFAP4,104,175,149,190,149,132,175,194
GLIS2,818,1876,1066,2211,994,1968,1173,1985
GLIS2-AS1,3,5,4,7,8,2,6,8
CORO7-PAM16,136,237,268,303,117,123,148,184
PAM16,52,66,70,78,38,33,50,55
CORO7,124,236,266,292,104,123,121,178
VASN,2958,5878,3793,7418,4801,5301,4027,7193
DNAJA3,604,1028,972,956,690,761,885,906
NMRAL1,281,625,511,650,383,481,404,585
HMOX2,516,849,667,783,511,555,582,668
CDIP1,448,831,808,883,575,701,769,939
C16orf96,8,12,19,13,11,11,19,19
UBALD1,391,534,480,567,272,271,262,285
MGRN1,912,1503,1283,1531,1025,949,1177,1494
MIR6769A,1,1,2,0,2,3,4,0
NUDT16L1,593,928,723,894,554,571,593,726
ANKS3,272,476,426,467,326,379,347,412
DNAAF8,10,13,24,16,11,18,23,21
ZNF500,308,636,416,441,344,423,421,425
SEPTIN12,0,0,1,0,0,0,0,0
SMIM22,0,0,1,0,0,1,1,0
ROGDI,163,394,198,308,164,246,201,285
GLYR1,1683,2856,2901,2634,1856,2232,2598,2488
UBN1,1422,2351,1731,2332,1409,1306,1752,1800
PPL,4570,9686,2203,11163,5525,6518,3540,8336
LOC105371064,99,155,48,210,126,133,83,155
SEC14L5,101,295,33,316,108,130,57,161
NAGPA,335,648,491,587,386,488,461,652
NAGPA-AS1,8,16,12,22,10,21,21,32
C16orf89,3,7,16,9,15,7,36,18
ALG1,405,684,659,625,433,526,523,629
EEF2KMT,188,261,311,241,201,228,249,251
LOC107984828,0,0,0,0,0,0,0,0
LOC105371067,0,0,0,0,0,1,0,0
LINC02164,0,0,0,0,0,0,0,0
RBFOX1,1,1,0,0,0,0,0,0
LINC01570,0,0,0,0,0,0,0,0
MIR8065,0,0,0,0,0,0,0,0
LOC105371068,0,0,0,1,0,0,0,0
LOC105371069,0,0,0,0,0,0,0,0
LOC105371070,0,1,0,0,0,0,0,0
LINC02152,0,0,0,0,0,0,0,0
LOC105371072,0,0,0,0,0,0,0,0
TMEM114,0,0,0,0,0,0,0,0
METTL22,385,579,510,542,408,420,500,461
ABAT,672,1207,977,1160,326,371,431,478
LOC107984840,0,0,0,0,0,0,0,0
TMEM186,99,211,118,160,116,137,124,153
PMM2,500,862,998,879,413,501,641,663
LOC100130283,191,352,246,329,202,221,204,249
CARHSP1,1623,3231,1811,3208,1530,1867,1574,2234
LITAFD,0,1,0,0,1,0,0,1
USP7,1600,3034,2455,2930,1644,1941,2341,2673
USP7-AS1,0,1,0,1,0,0,0,0
HAPSTR1,1141,2550,1759,2040,1254,1385,1667,1907
LOC101927026,0,0,0,0,0,0,0,0
LOC105371075,0,0,0,0,0,0,0,0
LINC02177,0,0,0,0,0,0,0,0
LINC01177,0,0,0,0,0,0,0,0
LINC01195,0,0,0,0,0,0,0,0
GRIN2A,1,2,1,3,17,4,14,40
LOC105371077,0,0,0,0,0,0,0,0
LOC105371076,0,0,0,0,0,0,0,0
LOC107984900,0,0,0,0,0,0,0,0
LOC105371078,0,0,0,0,0,0,0,0
ATF7IP2,17,11,7,31,17,14,9,35
LOC107984877,1,3,4,3,0,2,1,3
LINC01290,0,0,1,0,0,1,1,0
EMP2,1349,3378,2000,3086,1069,1344,1047,1671
TEKT5,1,6,0,2,0,2,1,1
LOC105371079,0,0,0,0,0,0,0,0
NUBP1,128,198,203,205,163,157,230,243
TVP23A,58,85,80,70,77,76,104,90
LOC105371080,0,0,0,0,0,0,0,0
CIITA,224,419,310,362,248,272,313,347
LOC112267907,0,0,0,1,0,0,0,0
DEXI,359,583,494,560,363,381,444,590
CLEC16A,521,961,711,1135,672,748,1010,1010
LOC105371081,0,0,0,1,1,1,1,0
LOC107984859,1,2,1,4,0,1,4,0
LOC105371082,1,7,10,4,5,8,10,10
SOCS1,184,138,207,195,376,240,497,435
TNP2,0,0,0,0,0,0,0,0
PRM3,0,0,0,0,0,0,0,0
PRM2,0,0,0,0,0,0,0,0
PRM1,0,0,0,0,0,0,0,0
MIR548H2,0,0,0,0,0,0,0,0
LOC105371083,4,4,2,4,3,5,4,6
RMI2,44,150,62,163,97,100,94,176
LOC400499,11,21,14,28,30,18,31,34
LOC101927131,0,0,0,0,1,0,0,1
LITAF,3762,8279,7054,8257,5491,6489,9477,9761
LOC107984880,0,0,0,0,0,0,0,0
SNN,634,1301,841,1573,761,653,969,960
TXNDC11,722,1554,1140,1457,616,762,668,893
ZC3H7A,1140,3064,2396,2460,1303,1565,1795,1730
BCAR4,0,0,0,0,0,0,0,0
RSL1D1,2007,3560,3286,3340,2058,2625,2966,2926
RSL1D1-DT,109,199,194,183,111,142,180,178
GSPT1,2261,4577,3476,3860,2179,2387,2838,3200
LOC112268177,7,11,7,11,5,4,13,11
NPIPB2,11,160,133,161,9,86,173,107
TNFRSF17,0,1,1,0,0,0,0,0
SNX29,1558,5433,2499,5464,1654,2539,2024,2825
LOC642696,0,3,0,1,0,0,0,1
LOC101927227,0,0,0,0,0,0,0,0
LOC105371087,0,1,0,0,0,1,1,0
LOC105371085,7,15,18,20,10,7,8,16
LOC105371088,0,4,1,1,0,1,1,0
CPPED1,761,1746,1702,1530,529,635,818,671
MIR4718,0,0,0,0,0,0,0,0
LOC105371090,0,0,0,0,0,0,0,0
LOC105371089,0,0,0,0,0,0,0,0
SHISA9,1,0,0,0,0,0,0,0
LOC105371092,0,0,0,0,0,0,0,0
LOC105371091,0,0,0,0,0,0,0,0
LOC107984137,0,0,0,0,0,0,0,0
LOC105371093,0,0,0,0,0,0,0,0
ERCC4,337,676,532,636,355,429,568,602
LINC02185,2,1,1,1,7,7,5,7
LINC02186,0,0,0,0,0,0,0,0
MRTFB,584,865,844,910,875,789,1046,1076
TRT-CGT2-1,0,0,0,0,0,0,0,1
MIR193BHG,17,20,22,8,10,11,28,29
MIR193B,0,0,0,0,0,0,0,0
MIR365A,1,0,1,0,0,0,2,0
LINC02130,0,0,0,0,0,0,0,0
PARN,842,1695,1297,1553,882,1028,1136,1240
LOC105371094,6,4,2,2,0,3,9,2
LOC107984865,0,1,3,1,1,3,1,0
BFAR,989,2034,1554,2168,1090,1274,1474,1752
PLA2G10,3,5,7,5,1,3,4,5
LOC105371095,0,2,1,1,0,2,2,1
NPIPA3,194,445,255,401,178,252,226,304
LOC100652777,4,5,9,7,4,6,6,5
LOC105376747,0,2,1,1,0,2,1,1
NPIPA2,204,454,296,427,184,269,251,319
LOC105376749,3,3,7,5,3,5,4,7
ABCC6P2,11,11,5,10,15,14,7,23
NOMO1,1829,3325,3184,3476,2109,2387,3398,3093
LOC101927469,6,5,3,6,5,5,2,5
MIR3179-1,1,1,0,1,0,0,0,0
MIR3670-1,0,0,0,0,0,0,0,0
MIR3180-1,0,0,0,0,0,0,0,0
PKD1P3-NPIPA1,1614,2441,2383,3565,1569,1659,1548,2494
LOC100288162,118,147,157,236,117,110,96,144
MIR6511A1,0,0,0,0,0,0,0,0
MIR6770-1,0,1,1,0,1,1,1,1
NPIPA1,169,326,245,340,150,237,205,280
PDXDC1,1464,2387,2187,2447,1708,1637,2450,2407
MIR1972-1,2,2,2,0,1,0,1,0
NTAN1,611,1608,1201,1637,714,899,1191,1172
RRN3,602,1239,1132,1131,589,693,953,885
LOC100505915,34,65,63,63,33,56,58,52
PKD1P6-NPIPP1,625,1002,826,1376,564,586,605,847
MIR6511B2,0,0,0,0,0,0,0,0
MIR3180-4,0,0,0,0,0,0,0,0
LOC105371096,0,0,0,0,0,0,0,0
LOC105371097,0,0,0,0,0,0,0,0
LOC107987241,0,0,0,0,0,0,0,0
LOC105371103,2,1,2,3,3,2,3,3
NPIPA5,287,542,294,434,267,307,247,337
MPV17L,3,7,8,10,4,5,6,6
BMERB1,1532,2867,1816,3098,1187,1418,1165,1993
LOC105371102,0,1,0,0,1,1,0,0
MARF1,1371,3163,2392,3274,2203,2327,2761,2764
MIR6506,14,29,26,30,26,31,34,27
NDE1,326,617,477,651,292,393,360,476
MIR484,0,0,0,0,0,0,0,0
MYH11,68,402,767,193,89,195,420,131
CEP20,598,1231,871,1166,673,717,954,981
LOC107984869,0,0,0,0,0,0,0,1
ABCC1,4625,7161,6353,6321,6291,6486,8262,7892
ABCC6,41,80,134,73,100,171,206,215
LOC105371100,1,1,1,2,3,2,2,3
NOMO3,1237,3179,2070,2555,1421,2151,2077,2237
LOC105371099,45,111,66,75,43,60,56,69
MIR3179-2,1,1,0,1,0,0,0,0
MIR3670-2,0,0,0,0,0,0,0,0
MIR3180-2,0,0,0,0,0,0,0,0
PKD1P1,2035,2904,2828,4044,1973,2192,1769,2727
MIR6511A2,0,0,0,0,0,0,0,0
MIR6770-2,0,0,0,1,0,1,1,1
MIR6511A3,0,0,0,0,0,0,0,0
NPIPA7,343,724,506,633,300,428,407,498
LOC105371098,2,3,6,5,1,3,2,3
LOC105371105,0,0,0,0,0,0,0,0
XYLT1,735,1232,1417,1889,948,1248,964,1718
LOC102723692,18,16,44,51,28,42,30,52
LOC107987234,0,1,0,1,0,0,1,0
LOC105371106,0,1,0,1,0,0,0,1
LOC107984893,0,0,0,0,0,0,0,1
LOC105371108,0,0,0,0,0,0,0,0
LOC105376751,0,0,0,0,0,0,0,0
LOC105376753,4,3,5,5,2,2,2,5
PKD1P4-NPIPA8,1339,1840,2146,3201,1338,1287,1302,2119
NPIPA8,163,272,244,274,142,162,188,220
MIR6511A4,0,0,0,0,0,0,0,0
PKD1P5-LOC105376752,1269,2317,2361,3879,1226,1430,1504,2628
MIR6770-3,0,1,1,0,1,1,1,1
LOC112268172,4,8,3,5,3,6,3,8
MIR3180-3,0,0,0,0,0,0,0,0
MIR3670-3,0,0,0,0,0,0,0,0
MIR3179-3,1,1,0,1,0,0,0,0
LOC102723728,549,1238,853,955,627,898,884,856
MIR3670-4,0,0,0,0,0,0,0,0
LOC105379460,2,5,2,3,2,4,3,4
MIR3179-4,1,1,0,1,0,0,0,0
NOMO2,1829,3711,2790,3188,2021,2775,2783,2766
ABCC6P1,8,13,17,14,27,26,31,29
RPS15A,9149,11830,10510,11383,9740,10180,10795,10792
ARL6IP1,1439,3080,1969,2998,1615,1610,1617,2165
SMG1,2566,4627,4647,5730,3021,3142,3736,4618
SMG1-DT,6,8,15,15,10,5,14,12
TMC7,13,13,35,10,5,19,50,24
COQ7-DT,1,1,6,3,2,0,3,3
COQ7,233,441,363,384,335,369,384,440
ITPRIPL2,2727,3852,3693,4235,2249,2042,2763,2954
SYT17,0,3,1,1,1,2,1,0
LOC105371114,0,0,0,0,0,0,0,0
CLEC19A,0,0,0,0,0,0,0,0
LINC02858,0,0,0,0,0,0,0,0
TMC5,3,4,4,6,1,3,6,7
GDE1,2138,5221,4247,4366,2303,2983,3706,3317
CCP110,283,576,441,573,399,485,512,544
VPS35L,1564,2829,2047,2610,1723,1885,2031,2236
KNOP1,219,547,398,558,296,308,329,416
IQCK,474,1478,514,1521,281,357,423,482
LOC105371115,3,2,3,4,2,1,1,2
GPRC5B,2808,8414,2508,10703,1113,1200,1340,2177
LOC105371116,0,0,0,0,0,0,0,0
LOC105371117,0,0,0,0,0,0,0,0
GPR139,0,0,0,0,0,0,0,0
LOC102723396,0,0,0,0,0,0,0,0
GP2,0,0,0,0,0,0,0,0
UMOD,0,0,0,0,0,0,0,0
PDILT,0,0,0,0,0,0,0,0
ACSM5,0,0,0,0,0,1,0,0
LOC105371119,0,0,0,0,0,0,0,0
ACSM2A,0,0,0,0,0,0,0,0
ACSM2B,0,0,0,0,0,0,0,0
LOC105371120,0,0,0,0,0,0,0,0
LOC107984831,0,0,0,0,0,0,0,0
ACSM1,0,0,0,0,0,0,0,0
LOC105379461,0,0,0,0,0,0,0,0
THUMPD1,676,1375,1004,1169,774,912,977,1115
ACSM3,34,102,60,99,52,76,69,92
ERI2,109,302,230,348,190,302,280,336
REXO5,63,133,52,136,80,91,100,139
LOC105371121,3,5,1,3,5,5,3,6
DCUN1D3,587,1334,891,1128,391,523,547,580
LYRM1,345,822,558,628,369,409,497,478
DNAH3,1,1,0,2,0,1,6,3
LOC107984888,1,2,0,3,1,2,1,4
LDAF1,833,1804,1027,1780,976,902,1003,1471
ZP2,0,0,0,0,0,0,0,0
LOC105371123,0,0,0,0,0,0,1,0
ANKS4B,0,1,0,0,0,0,0,0
CRYM,6,5,10,15,9,8,36,36
LOC105371125,5,5,3,8,5,2,9,8
CRYM-AS1,4,1,4,2,1,2,6,5
SNX29P1,5,15,9,23,4,7,9,15
NPIPB3,198,368,356,263,156,240,326,273
LOC100190986,47,52,79,52,44,65,69,68
SMG1P3,206,280,408,361,199,253,283,338
MIR3680-1,1,0,1,1,0,0,0,1
SLC7A5P2,16,15,25,29,15,20,11,22
LOC101927814,0,1,0,0,0,1,0,0
METTL9,1498,2765,2309,2698,1947,2243,2782,2854
IGSF6,1,4,12,5,10,10,8,8
OTOA,0,1,0,0,0,0,0,1
LOC105371126,0,1,1,0,1,1,0,0
RRN3P1,56,152,120,136,119,125,112,154
LOC112268174,10,10,17,13,11,11,13,10
NPIPB4,128,253,250,234,120,167,235,221
UQCRC2,1435,2867,2498,2655,1658,2020,2516,2148
PDZD9,85,113,143,108,91,120,152,99
MOSMO,445,1066,712,1099,337,331,370,490
LOC105371129,21,71,27,55,16,9,21,18
VWA3A,3,14,18,14,6,14,11,16
SDR42E2,2,1,1,0,1,1,3,0
TRL-TAG3-1,0,0,0,0,0,0,0,0
EEF2K,1608,2109,1365,2594,1281,1251,1054,1631
TRL-AAG2-4,0,0,0,0,0,0,0,0
POLR3E,505,813,705,905,453,507,587,605
CDR2,789,1269,1736,1350,603,779,1056,888
CDR2-DT,0,0,2,1,1,0,2,0
MFSD13B,0,1,6,3,3,5,2,5
RRN3P3,56,94,93,114,50,72,84,84
SMG1P1,126,207,238,269,124,136,188,243
NPIPB5,568,869,861,644,482,633,900,659
LOC105371131,8,18,11,10,11,13,11,9
OTOAP1,0,1,0,0,0,1,0,0
LOC112268175,0,0,1,0,1,0,0,0
LOC107984851,0,0,0,1,0,0,0,0
HS3ST2,0,6,1,4,0,0,0,0
LOC112268176,0,0,0,0,0,0,0,0
USP31,357,637,424,529,253,285,291,356
SCNN1G,0,0,0,0,0,0,0,0
SCNN1B,0,0,0,0,0,0,1,0
COG7,270,548,464,507,360,461,526,552
GGA2,1026,1583,1218,1790,1512,1516,1434,2263
EARS2,297,449,656,459,357,429,561,526
UBFD1,1817,3101,2953,2638,2594,2567,2837,3024
NDUFAB1,334,662,569,534,321,488,456,442
PALB2,159,336,298,347,218,260,307,335
DCTN5,1708,3631,3114,2782,1987,2904,2982,2767
PLK1,32,61,45,48,41,36,42,60
ERN2,0,3,2,4,0,6,2,3
CHP2,0,0,0,0,0,0,0,0
PRKCB,1,0,0,0,3,0,0,0
LOC105371141,0,1,0,1,0,0,0,0
MIR1273H,0,0,0,0,0,0,0,0
LINC02194,0,0,0,0,0,0,0,0
CACNG3,0,0,0,0,0,0,0,0
LOC105371143,0,0,0,0,0,0,0,0
RBBP6,997,2152,1570,2170,1111,1280,1699,1903
TNRC6A,2469,4771,4138,5673,2550,3299,3800,4359
LINC01567,0,0,0,0,0,0,0,0
LOC107984825,0,0,0,0,0,0,0,0
SLC5A11,5,0,0,0,2,0,0,3
LOC107984826,12,36,23,30,13,27,27,33
ARHGAP17,1146,2038,1716,1852,1321,1309,1487,1684
LOC554206,9,14,12,12,10,10,19,19
LINC02175,9,17,27,24,14,16,26,21
LCMT1-AS1,4,12,6,3,8,10,8,9
LCMT1,337,701,501,573,375,426,461,507
LCMT1-AS2,0,4,3,2,2,2,3,5
AQP8,2,1,0,0,0,1,0,0
ZKSCAN2,182,326,296,343,224,256,340,349
LINC02191,0,0,1,0,0,0,0,0
LOC105371147,0,0,0,0,0,0,0,0
LOC105369297,0,0,0,0,0,0,0,0
HS3ST4,0,0,0,0,0,0,0,0
MIR548W,0,0,0,0,0,0,0,0
LOC105371149,0,0,0,0,0,0,0,0
LOC105371150,0,0,0,0,0,0,0,0
LOC102723536,0,0,0,0,0,0,0,0
LINC02195,0,0,0,0,0,0,0,0
LOC105371153,0,0,0,0,0,0,0,0
LOC105371154,0,0,0,0,0,0,0,0
C16orf82,0,0,0,0,0,0,0,0
LOC105371155,0,0,0,0,0,0,0,0
KDM8,50,63,84,71,62,86,99,94
NSMCE1,591,1129,849,1025,655,683,764,892
NSMCE1-DT,2,2,6,3,4,11,13,8
IL4R,428,702,1075,855,378,486,577,658
IL21R,1,2,4,1,4,3,3,4
IL21R-AS1,1,1,1,2,2,3,0,3
GTF3C1,1964,3626,3208,3414,2660,2977,3178,3519
KATNIP,613,1378,1111,1333,880,979,1110,1191
LOC107984874,0,0,0,0,0,0,0,0
LOC100128079,11,24,22,28,19,27,25,20
LOC105371157,0,0,0,0,0,0,0,0
GSG1L,0,0,1,0,0,0,0,0
XPO6,2134,3872,3873,3639,2297,3186,3255,3704
SBK1,0,1,1,0,6,3,1,5
LOC105369182,0,0,0,0,0,0,0,1
NPIPB6,15,33,20,29,18,14,30,35
EIF3CL,5033,5398,4974,4534,6084,4395,5240,4248
MIR6862-1,0,0,0,0,0,0,0,0
LOC112268171,1,2,3,7,4,1,3,6
CLN3,529,1115,831,1136,548,592,644,784
APOBR,1,6,2,0,1,3,3,3
IL27,0,0,1,0,1,0,1,0
NUPR1,1982,4705,3654,4044,2403,4269,4378,4401
SGF29,95,154,121,165,84,140,150,180
SULT1A2,8,19,7,13,11,12,12,11
SULT1A1,45,87,63,79,39,78,84,82
LOC107984835,0,0,0,0,1,0,0,0
NPIPB8,25,36,31,38,22,26,33,34
EIF3C,5099,5534,5105,4612,6163,4565,5387,4295
MIR6862-2,0,0,0,0,0,0,0,0
NPIPB9,120,123,139,116,133,110,131,120
LOC105379464,0,0,3,6,1,1,2,3
ATXN2L,1634,2662,2293,2654,1735,2093,2485,2504
TUFM,2149,3086,2720,2815,2183,2206,2514,2223
MIR4721,119,80,95,85,120,83,89,56
SH2B1,1012,1424,1108,1555,1076,1099,1094,1341
ATP2A1,19,21,24,26,12,17,23,26
ATP2A1-AS1,5,8,5,8,7,4,5,7
RABEP2,342,502,486,608,438,440,461,577
CD19,0,9,2,0,2,7,1,7
NFATC2IP,799,1347,1093,1361,772,939,1015,1071
MIR4517,5,7,7,4,6,6,9,5
SPNS1,886,1334,1186,1499,1116,1171,1164,1526
LAT,232,178,91,193,171,169,114,192
RRN3P2,67,169,115,140,63,101,108,132
LOC101928215,4,2,3,0,3,4,4,2
LOC107984832,89,120,250,81,188,243,275,150
LOC101928188,70,85,167,58,141,161,177,112
LOC102723708,0,0,0,1,0,1,0,3
LOC105371159,20,10,26,7,39,17,43,14
LOC107984833,3,1,2,2,8,2,9,1
SNX29P2,10,25,28,27,12,25,40,20
NPIPB11,59,125,100,96,56,79,115,93
SMG1P6,72,108,134,147,90,90,88,127
BOLA2-SMG1P6,151,220,243,233,163,187,175,215
LOC606724,1,3,1,0,2,3,2,1
BOLA2,103,138,158,150,112,106,109,132
SLX1B,93,124,127,140,98,86,96,122
SLX1B-SULT1A4,149,191,167,201,150,144,159,185
SULT1A4,89,111,90,109,94,91,101,111
LOC388242,17,29,28,24,26,39,39,43
LOC101928556,6,5,6,5,6,4,4,7
NPIPB12,134,224,185,160,114,131,192,166
SMG1P2,97,185,170,224,119,136,147,199
LOC105371168,13,26,12,15,6,11,22,11
MIR3680-2,0,0,0,0,0,0,0,0
SPN,1,0,0,1,1,0,1,1
QPRT,494,1045,707,713,1363,1518,1430,1643
C16orf54,0,0,0,0,0,0,0,0
ZG16,0,2,0,0,0,1,2,0
LOC105371167,0,0,1,0,0,0,0,0
KIF22,165,246,179,265,167,250,215,255
LOC107984837,6,12,7,16,7,9,12,7
MAZ,965,1319,1079,1519,1067,1090,1289,1611
LOC112268170,335,458,354,468,420,412,507,541
PRRT2,252,418,169,520,369,500,347,801
PAGR1,457,701,584,833,632,681,724,948
MVP,8421,14200,10687,14715,9154,9141,9231,11457
CDIPT,4004,6867,5819,7110,2579,2627,3301,3569
CDIPTOSP,2,12,15,12,4,9,4,8
SEZ6L2,370,949,1107,999,416,557,1043,867
ASPHD1,66,126,169,119,57,76,123,95
KCTD13,139,233,245,219,162,172,231,232
KCTD13-DT,12,11,11,19,9,23,24,29
TMEM219,958,2024,1342,1915,1122,1316,1262,1639
TAOK2,1586,2172,2142,2317,1810,1796,2129,2195
HIRIP3,192,337,151,307,225,237,211,302
INO80E,525,926,796,919,616,731,661,783
DOC2A,54,70,79,98,52,59,67,74
C16orf92,0,0,0,0,0,0,0,0
TLCD3B,0,1,0,0,0,2,1,0
LOC112694756,7536,12013,15499,11433,10075,11544,11524,11232
ALDOA,7731,12487,15885,11888,10333,11787,11883,11632
PPP4C,1122,1870,1604,1819,1097,1199,1243,1397
TBX6,11,14,9,22,13,18,8,27
YPEL3,875,1914,1356,2109,790,972,1210,1177
YPEL3-DT,28,51,22,49,23,30,22,35
GDPD3,62,100,71,106,82,71,63,82
MAPK3,1960,3820,2769,3966,2643,3151,3385,3975
CORO1A-AS1,1,1,1,2,3,1,1,1
CORO1A,4,6,8,4,13,15,10,19
BOLA2B,118,152,182,175,135,127,131,153
SLX1A,147,196,210,224,157,140,157,185
SLX1A-SULT1A3,160,197,172,208,159,148,168,190
SULT1A3,92,109,87,107,93,89,101,109
LOC613038,18,31,33,26,32,44,50,52
LOC101929894,3,5,3,4,4,2,4,6
NPIPB13,79,182,114,123,63,82,119,120
SMG1P5,79,165,129,187,85,116,119,167
CD2BP2,1172,1832,1581,1651,1158,1094,1285,1494
CD2BP2-DT,17,13,25,15,19,17,20,13
TBC1D10B,916,1469,1142,1548,972,1063,1186,1397
MYL11,0,2,3,2,0,1,3,1
SEPTIN1,30,49,53,68,28,36,45,43
ZNF48,115,201,165,207,139,115,171,183
ZNF771,120,129,122,181,102,96,100,144
SNORA80C,0,0,0,0,0,0,0,0
DCTPP1,164,238,239,227,174,132,191,211
SEPHS2,844,1602,1218,1422,887,985,1095,1359
ITGAL,1,2,1,1,2,2,0,1
MIR4518,0,0,0,0,0,0,0,0
ZNF768,476,699,626,795,535,546,634,686
ZNF747,170,300,221,353,203,242,230,312
ZNF747-DT,14,23,9,18,4,10,16,23
ZNF764,96,142,112,175,94,139,138,141
ZNF688,142,241,166,237,175,188,201,217
ZNF785,183,249,281,252,180,262,337,322
ZNF689,176,269,226,331,186,253,262,324
PRR14,499,691,452,662,471,430,516,598
FBRS,1082,1927,1556,1828,1007,1217,1224,1439
LOC730183,26,37,53,44,34,41,38,47
SRCAP,2547,4081,4177,4348,2862,3278,3785,4161
SNORA30,0,0,0,0,0,1,0,0
TMEM265,54,90,57,91,36,41,51,56
PHKG2,248,441,386,351,282,321,308,343
CFAP119,19,52,43,43,37,49,31,45
RNF40,1741,2620,2582,2920,1845,1970,2426,2428
ZNF629,768,1596,1521,1463,838,1106,1253,1314
BCL7C,371,616,547,682,432,421,495,577
MIR4519,0,2,1,1,0,0,1,3
MIR762HG,134,156,191,197,127,157,157,157
MIR762,15,14,19,22,20,16,14,26
CTF1,255,550,253,552,292,396,278,436
FBXL19-AS1,72,154,118,144,144,155,155,202
FBXL19,351,421,383,466,352,309,391,443
ORAI3,977,2165,1282,2443,1020,1303,997,1628
SETD1A,551,807,805,892,594,636,781,815
HSD3B7,397,526,446,756,438,346,339,621
STX1B,54,132,85,94,100,115,134,154
STX4,607,929,791,939,613,684,814,960
LOC101928762,76,72,48,94,92,64,98,103
ZNF668,336,480,441,545,268,345,294,356
ZNF646,556,901,850,1023,649,623,743,812
PRSS53,114,147,162,140,110,100,110,131
VKORC1,1715,3904,3211,3468,2030,2613,2889,3253
BCKDK,734,1176,1558,1255,827,1031,1311,1203
KAT8,367,625,484,726,411,462,474,567
PRSS8,0,0,0,0,0,0,1,0
PRSS36,6,8,5,8,5,5,2,8
FUS,1749,2401,3531,2079,1664,1923,2478,2014
PYCARD,194,192,235,258,158,133,187,208
PYCARD-AS1,55,58,59,73,47,46,68,64
TRIM72,1,0,1,0,0,0,0,1
PYDC1,0,0,0,0,0,0,0,0
ITGAM,0,0,0,0,0,0,0,0
ITGAX,0,0,0,0,0,0,0,1
ITGAD,0,0,2,0,1,0,0,0
COX6A2,0,0,0,0,0,0,0,0
ZNF843,15,21,25,28,26,28,25,46
ARMC5,174,341,314,391,228,283,243,382
TGFB1I1,2108,3361,3437,3222,1492,1774,1601,2128
SLC5A2,197,341,350,353,218,243,263,282
RUSF1,1174,2148,2191,2327,1346,1606,1754,1891
AHSP,0,0,0,0,0,0,0,0
LINC02190,0,0,0,0,0,0,0,0
FRG2KP,0,2,1,2,0,0,2,2
YBX3P1,29,137,55,110,16,21,32,60
CLUHP3,29,35,32,32,32,47,46,52
KRBOX5,106,230,180,217,120,137,132,160
LOC107983990,8,27,15,24,5,12,16,27
VN1R3,0,0,0,0,0,0,0,0
ZNF267,127,182,214,209,127,130,176,159
LOC105371174,0,0,0,0,0,0,0,0
LOC102725101,0,0,0,0,0,0,0,0
HERC2P4,2,5,24,6,2,2,34,3
LOC105379466,0,0,0,0,0,0,0,0
TP53TG3D,1,0,24,0,2,0,33,1
LOC100507221,0,0,0,0,0,0,0,0
LOC390705,0,0,0,0,0,0,0,0
LOC105371191,0,0,0,0,0,0,0,0
FAM153DP,0,0,0,0,0,0,0,0
LOC107984013,0,0,0,0,0,0,0,0
TP53TG3,0,0,2,0,0,0,3,0
LOC105371177,0,0,0,0,0,0,0,0
SLC6A10P,1,12,2,12,3,1,4,7
IGHV3OR16-8,0,0,0,0,0,0,0,0
TP53TG3C,0,0,2,0,0,0,6,0
TP53TG3E,1,0,4,0,0,0,12,1
LOC105369266,0,0,0,0,0,0,0,0
TP53TG3B,0,0,2,0,0,0,2,0
LOC105379473,0,0,0,0,0,0,0,0
TP53TG3F,1,0,2,0,0,0,6,1
LOC105379474,0,0,0,0,0,0,0,0
LOC101929031,0,4,0,1,0,0,0,1
LOC107984855,0,0,0,1,0,0,0,0
LOC107984083,0,0,0,1,0,0,0,0
LOC102724207,0,1,0,0,1,0,0,1
ENPP7P13,0,0,0,0,0,0,0,0
IGHV3OR16-17,0,0,0,0,0,0,0,0
LOC105369183,0,0,0,0,0,0,0,0
MIR9901,0,0,0,0,0,0,0,0
LOC102724485,0,0,0,0,0,0,0,0
LOC105379475,0,0,0,0,0,0,0,0
LOC107987236,0,0,0,0,0,0,0,0
LOC107987235,0,0,0,0,0,0,0,0
LOC102724523,0,0,0,0,0,0,0,0
LINC02184,0,0,0,0,0,0,0,0
LOC162137,0,0,0,0,0,0,0,0
LOC107984902,0,0,0,0,0,0,0,0
LOC105371195,0,0,0,0,0,0,0,0
CCNYL3,0,0,0,0,0,0,0,0
LOC105371197,0,0,0,0,0,0,0,0
UBE2MP1,35,98,60,83,46,41,84,74
LOC112268173,0,0,0,0,0,0,0,0
LOC105371200,0,0,0,0,0,0,0,0
LOC105371199,0,0,0,0,0,0,0,0
LOC105371198,0,0,0,0,0,0,0,0
LINC01566,0,0,0,0,0,0,0,0
LOC105371201,0,0,0,0,0,0,0,0
LOC105371203,0,0,0,0,0,0,0,0
FRG2DP,0,0,0,0,0,0,0,0
TP53TG3HP,0,0,0,0,0,0,0,0
LOC105371204,0,0,0,0,0,0,0,0
LINC02167,0,0,0,0,0,0,0,0
ANKRD26P1,2,46,0,0,2,48,0,1
SHCBP1,48,82,38,70,57,64,37,97
VPS35,2548,4718,3825,4667,3395,3619,4006,4901
ORC6,23,45,57,45,35,52,50,63
